Time,Temperature[°C],Rain,Overall
2024-04-15T00:00,9.0,0%,pochmurno
2024-04-15T01:00,8.5,0%,pochmurno
2024-04-15T02:00,8.3,0%,pochmurno
2024-04-15T03:00,8.2,0%,pochmurno
2024-04-15T04:00,8.1,0%,pochmurno
2024-04-15T05:00,8.1,0%,pochmurno
2024-04-15T06:00,8.4,0%,pochmurno
2024-04-15T07:00,9.1,0%,częściowo pochmurno
2024-04-15T08:00,10.4,0%,częściowo pochmurno
2024-04-15T09:00,11.2,0%,pochmurno
2024-04-15T10:00,11.9,10%,pochmurno
2024-04-15T11:00,12.2,0%,pochmurno
2024-04-15T12:00,12.9,10%,pochmurno
2024-04-15T13:00,13.7,0%,pochmurno
2024-04-15T14:00,13.8,0%,pochmurno
2024-04-15T15:00,14.5,0%,pochmurno
2024-04-15T16:00,14.4,0%,pochmurno
2024-04-15T17:00,14.4,0%,pochmurno
2024-04-15T18:00,12.2,0%,deszcz słaby
2024-04-15T19:00,11.6,0%,przelotne opady deszczu: słabe
2024-04-15T20:00,11.4,0%,pochmurno
2024-04-15T21:00,7.6,80%,deszcz słaby
2024-04-15T22:00,7.3,50%,deszcz słaby
2024-04-15T23:00,6.8,0%,częściowo pochmurno
2024-04-16T00:00,6.3,0%,częściowo pochmurno
2024-04-16T01:00,5.7,0%,głównie bezchmurnie
2024-04-16T02:00,5.5,0%,częściowo pochmurno
2024-04-16T03:00,5.3,0%,pochmurno
2024-04-16T04:00,5.3,0%,pochmurno
2024-04-16T05:00,5.3,0%,przelotne opady deszczu: słabe
2024-04-16T06:00,5.6,0%,przelotne opady deszczu: słabe
2024-04-16T07:00,6.0,10%,przelotne opady deszczu: słabe
2024-04-16T08:00,6.8,0%,przelotne opady deszczu: słabe
2024-04-16T09:00,7.7,10%,przelotne opady deszczu: słabe
2024-04-16T10:00,8.4,0%,przelotne opady deszczu: słabe
2024-04-16T11:00,10.3,0%,pochmurno
2024-04-16T12:00,10.8,0%,pochmurno
2024-04-16T13:00,11.3,0%,pochmurno
2024-04-16T14:00,11.4,0%,pochmurno
2024-04-16T15:00,11.0,0%,pochmurno
2024-04-16T16:00,9.0,0%,deszcz słaby
2024-04-16T17:00,8.0,0%,deszcz słaby
2024-04-16T18:00,6.7,0%,deszcz słaby
